,Longitude,Latitude,Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Aggregate rating
169,-91.6347,42.01,25.0,0,0,0,0,4.4
170,-91.6499622,42.0215347,25.0,0,0,0,0,4.2
171,-91.7266,41.9639,10.0,0,0,0,0,4.2
172,-91.6394,42.0468,10.0,0,0,0,0,4.2
173,-91.569767,41.670466,25.0,0,0,0,0,3.8
174,-91.5687,41.6685,25.0,0,0,0,0,4.1
175,-91.534424,41.660982,10.0,0,0,0,0,4.9
176,-91.531414,41.663849,10.0,0,0,0,0,4.5
177,-91.531093,41.663751,25.0,0,0,0,0,3.6
178,-91.534302,41.658691,40.0,0,0,0,0,3.8
179,-91.5314,41.6648,25.0,0,0,0,0,4.3
180,-91.5341,41.661,40.0,0,0,0,0,4.3
181,-91.482165,41.667742,25.0,0,0,0,0,4.1
182,-91.5318,41.6625,40.0,0,0,0,0,4.0
183,-91.5074,41.6428,25.0,0,0,0,0,4.2
184,-91.5995,42.0331,25.0,0,0,0,0,4.7
185,-82.188438,42.397683,25.0,0,0,0,0,3.7
186,-123.368151,46.126967,10.0,0,0,0,0,4.3
187,-114.472474,51.183934,25.0,0,0,0,0,3.1
188,-84.992671,32.470315,10.0,0,0,0,0,3.3
189,-84.95591,32.519247,25.0,0,0,0,0,4.6
190,-84.927047,32.555591,25.0,0,0,0,0,4.5
191,-84.9436,32.5577,25.0,0,0,0,0,3.8
192,-84.9936,32.4656,25.0,0,0,0,0,3.9
193,-84.954984,32.5382197,40.0,0,0,0,0,3.9
194,-84.9876,32.4637,10.0,0,0,0,0,3.7
195,-84.9933631,32.4652417,40.0,0,0,0,0,3.6
196,-84.96661,32.534002,40.0,0,0,0,0,3.7
197,-84.95367,32.513154,40.0,0,0,0,0,4.2
198,-84.947569,32.504657,25.0,0,0,0,0,4.3
199,-84.9607,32.5393,25.0,0,0,0,0,4.0
200,-84.9464,32.4792,25.0,0,0,0,0,4.0
201,-84.9427,32.481,0.0,0,0,0,0,4.0
202,-84.9557,32.5321,25.0,0,0,0,0,4.1
203,-84.992093,32.466158,40.0,0,0,0,0,4.1
204,-84.938698,32.560905,10.0,0,0,0,0,4.2
205,-84.991384,32.468757,25.0,0,0,0,0,4.3
206,-84.963201,32.527217,40.0,0,0,0,0,4.0
207,-85.0213,32.7455,40.0,0,0,0,0,4.4
208,-110.7746994,52.0082889,25.0,0,0,0,0,3.0
209,-84.9396931,34.5251331,25.0,0,0,0,0,3.7
210,-84.926258,34.474635,10.0,0,0,0,0,4.4
211,-84.9523921,34.4972488,25.0,0,0,0,0,4.4
212,-84.767911,34.752476,10.0,0,0,0,0,3.9
213,-84.969393,34.769686,10.0,0,0,0,0,4.9
214,-85.0039,34.7643,25.0,0,0,0,0,3.8
215,-84.992342,34.759551,40.0,0,0,0,0,3.8
216,-84.992924,34.759665,10.0,0,0,0,0,3.8
217,-84.999678,34.758645,25.0,0,0,0,0,3.7
218,-84.9678,34.7742,10.0,0,0,0,0,4.1
219,-84.990925,34.759273,10.0,0,0,0,0,4.1
220,-84.9964,34.7604,10.0,0,0,0,0,4.1
221,-85.2229101,34.9428786,25.0,0,0,0,0,4.6
222,-85.246237,34.9528157,10.0,0,0,0,0,4.3
223,-85.2545,34.9546,25.0,0,0,0,0,4.2
224,-85.294955,34.705093,10.0,0,0,0,0,3.7
